wp_count,total_distance_m,avg_distance_m,max_distance_m,avg_bearing_change,max_bearing_change,avg_altitude_m,start_lat,start_lng,end_lat,end_lng,centroid_lat,centroid_lng,route_id,start_place,end_place,centroid_place
10,187.42,20.82,40.08,106.09,153.6,20.0,37.34566879272461,126.95361328125,37.34589385986328,126.95333862304688,37.34584,126.953495,201111-clrobur-survey-test,대한민국 경기도 군포시 고산로151번길 26-24,대한민국 경기도 군포시 한세로44번길 13,대한민국 경기도 군포시 한세로44번길 13
14,1207.41,92.88,140.4,90.0,99.19,20.0,37.39312486581189,126.63707361871438,37.390754806860045,126.63824957737928,37.39194,126.637662,201213-demo-vehicle1,대한민국 인천광역시 연수구 인천타워대로 196,대한민국 인천광역시 연수구 테크노파크로 180,대한민국 인천광역시 연수구 테크노파크로 200
24,2206.54,95.94,149.89,90.0,94.68,20.0,37.39316480736488,126.6384440972031,37.39107760772686,126.64224084141097,37.392705,126.640767,201213-demo-vehicle2,대한민국 인천광역시 연수구 테크노파크로 200,대한민국 인천광역시 연수구 컨벤시아대로 160,대한민국 인천광역시 연수구 센트럴로 194
12,940.1,85.46,125.61,90.0,97.59,20.0,37.39050109684751,126.64119166370854,37.39139977742537,126.63941020673202,37.390518,126.639844,201213-demo-vehicle3,대한민국 인천광역시 연수구 테크노파크로 180,대한민국 인천광역시 연수구 테크노파크로 180,대한민국 인천광역시 연수구 테크노파크로 180
64,2159.26,34.27,34.27,5.62,5.63,200.0,37.39463523837027,126.63819799651338,37.39462011373013,126.63858550873084,37.391494,126.638198,201214-circle-test1,대한민국 인천광역시 연수구 테크노파크로 196,대한민국 인천광역시 연수구 테크노파크로 196,대한민국 인천광역시 연수구 테크노파크로 200
7,11620.18,1936.7,2579.78,64.03,79.27,150.0,37.39655678580408,126.6328283327668,37.39655678580408,126.6328283327668,37.3876,126.64398,201214-poly-test1,대한민국 인천광역시 연수구 인천타워대로,대한민국 인천광역시 연수구 인천타워대로,대한민국 인천광역시 연수구 테크노파크로 113
26,3260.95,130.44,182.61,90.0,90.96,80.0,37.38557299305157,126.64608330506198,37.37935393265931,126.65275448949724,37.382463,126.649419,201214-survey-test1,대한민국 인천광역시 연수구 갯벌로 118,대한민국 인천광역시 연수구 해송로,대한민국 인천광역시 연수구 해송로 59
10,1057.52,117.5,267.56,55.07,109.86,20.0,37.394026395518495,126.63984204762158,37.39244405275015,126.6407838229984,37.39223,126.641286,201216-online-test1,대한민국 인천광역시 연수구 센트럴로 194,대한민국 인천광역시 연수구 테크노파크로 180,대한민국 인천광역시 연수구 센트럴로 194
92,178603.09,1962.67,6248.37,91.04,148.09,20.0,37.35126964552076,126.9251481528958,37.33229819670453,127.00033026362158,37.342154,126.962739,201222-mission-upload-test-survey,대한민국 경기도 군포시 번영로 399,대한민국 경기도 수원시 장안구 파장동,대한민국 경기도 의왕시 가나무로
10,114.74,12.75,28.14,41.74,122.45,20.0,37.346107370350296,126.9531261309604,37.34597954973546,126.95319970015976,37.346045,126.953392,201229-waypoint-10,대한민국 경기도 군포시 고산로185번길,대한민국 경기도 군포시 고산로185번길,대한민국 경기도 군포시 한세로44번길 13
163,10817.75,66.78,287.96,16.81,160.0,20.0,37.35439908221187,126.94870341254295,37.349144494527465,126.95343267099872,37.353149,126.955041,201229-waypoint-163,대한민국 경기도 군포시 군포역1길 27,대한민국 경기도 군포시 고산로148번길 17,대한민국 경기도 군포시 산본로
500,2527.25,5.06,9.44,14.28,147.11,20.0,37.35477602850024,126.94882039097904,37.354080832576486,126.95014833690624,37.354356,126.949372,201229-waypoint-500,대한민국 경기도 군포시 Gunpo Overpass,대한민국 경기도 군포시 공단로104번길,대한민국 경기도 군포시 공단로
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221215-MOUNT-EP20221215000,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221216-MOUNT-EP2022121600,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221220-MOUNT-EP2022122002,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221220-MOUNT-EP2022122003,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221221-MOUNT-EP2022122003,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221222-MOUNT-EP2022122003,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
10,2423.36,269.26,626.33,123.63,164.73,20.0,37.38162612915039,126.66194915771484,37.383750915527344,126.6551284790039,37.382893,126.659221,20221222-MOUNT-EP2022122005,대한민국 인천광역시 연수구 송도과학로 32,대한민국 인천광역시 연수구 갯벌로,대한민국 인천광역시 연수구 송도과학로 13
