route_id,type,centroid_score,isoforest_score,knn_score,ensemble_score,interpretation,detected
200615-doosan_test,normal_test,0.15397949448299514,0.26823526629365146,0.14628930516374955,0.197374746411484,정상,False
201222-mission-upload-test-survey,normal_test,0.5319073666899554,0.7650001876052948,0.6878638910028888,0.6719314523499712,이상,False
210120-airportcircle,normal_test,0.36262726817927043,0.776773686814271,0.46951701522159645,0.5603527597459685,이상,False
210209-M210T,normal_test,0.2811487560939028,0.4767507727639645,0.08495060500658531,0.3005301174357322,주의,False
210121-songdoCircle6,normal_test,0.18803710832038362,0.5911477254473921,0.3326545484077336,0.39266658719739206,주의,False
210409-Eoseom2_1,normal_test,0.07962230155890584,0.15451547920943465,0.12942183851541963,0.1245194337060715,정상,False
200702-sd-circle2,normal_test,0.2878216349980051,0.4424865170415895,0.2797841835415534,0.34727635237850335,주의,False
210425-ani2-2,normal_test,0.04164029581609654,0.06207377224347255,0.08366248504129059,0.062420343154605165,정상,False
201214-circle-test1,normal_test,0.2893760873609818,0.7680355530636722,0.3954031209790162,0.5126479837274683,이상,False
210415-M210_3,normal_test,0.22034859146143426,0.6806919708584835,0.34131418124545,0.4407756201554587,주의,False
20221216-MOUNT-EP2022121600,normal_test,0.0976276089878539,0.0196427602217516,0.07402941979099288,0.059354212722354666,정상,False
201229-waypoint-163,normal_test,0.8582967620251291,0.9662565649938415,0.9454390740093157,0.9276233768078699,심각,True
210416-uamt_3_1,normal_test,0.49205639833331016,0.7004594418803519,0.3638853485538656,0.5369663008182934,이상,False
20230107-MOUNT-EC2022121200,normal_test,0.9175434382027343,1.0,0.9848522535712029,0.9707187075321813,심각,True
210304-SPLINE_test,normal_test,0.23603555095242829,0.32961280536053716,0.0682772268644347,0.22313895548927373,정상,False
PERM_210223-M201_same,anomaly_permuted,0.14448792514862688,0.2746891867581439,0.09683854041305451,0.18227361437176198,정상,False
PERM_20221224-MOUNT-EP2022122003,anomaly_permuted,0.1470226078270576,0.14336485432138102,0.08310225678316699,0.12638340111161978,정상,False
PERM_20221222-MOUNT-EP2022122003,anomaly_permuted,0.05016289430958605,0.0,0.06045818686112319,0.03318632435121277,정상,False
PERM_210309-M210WPT_1.3km_wp15_half,anomaly_permuted,0.09366197107390717,0.12518844818483488,0.09339887204482965,0.106193632209555,정상,False
PERM_210101-WP-903,anomaly_permuted,1.0,1.0,1.0,1.0,심각,True
PERM_210404-210404_circlet3_5.21km,anomaly_permuted,0.12415255979118021,0.3508115608423543,0.17887302577194059,0.23123230000587797,정상,False
PERM_210111-operationtest,anomaly_permuted,0.07228066373995426,0.10095156817037887,0.10318909882123449,0.09302155603650818,정상,False
PERM_200612-DNA-SWARM-4,anomaly_permuted,0.2261613939259583,0.3364041464834403,0.32364144650307236,0.29950251072208534,정상,False
PERM_210228-golf3,anomaly_permuted,0.13884041314996826,0.31391908681895253,0.18851436179077785,0.22377406720980486,정상,False
PERM_210208-search3,anomaly_permuted,0.2206203814870734,0.4411485702043161,0.3129142263339473,0.33651981042803264,주의,False
NOISE_201104-survey-1,anomaly_noisy,0.2078733473519515,0.2696210311218673,0.22136734122130514,0.23662061902072395,정상,False
NOISE_210309-P0/MX,anomaly_noisy,0.3513433079780232,0.36964357721341745,0.23510760366551028,0.32379270437842705,주의,False
NOISE_210404-M210-20km-wp64,anomaly_noisy,0.20040390527207166,0.4661325447223881,0.3744448459822003,0.35890764326523683,주의,False
NOISE_200612-DNA-SWARM-10,anomaly_noisy,0.115604723255442,0.23604650715078979,0.19191332793961985,0.18667401821883448,정상,False
NOISE_210425-ani4,anomaly_noisy,0.04916476020588373,0.0939990065544517,0.09899693966091437,0.08204811258182011,정상,False
NOISE_210420-yeoju_quad_1,anomaly_noisy,0.1434430301420088,0.08145357434473621,0.09941487127080094,0.1054388001617374,정상,False
NOISE_20230107-FARM-EC2022121201,anomaly_noisy,1.0,1.0,1.0,1.0,심각,True
NOISE_200616-doosantest1,anomaly_noisy,0.14961432220107782,0.2093287968182138,0.1392877500410244,0.17040214039991616,정상,False
NOISE_210122-Mtest2,anomaly_noisy,0.14640712195738848,0.0,0.08357117376516988,0.0689934887167675,정상,False
NOISE_210407-songdo_hone,anomaly_noisy,0.14892495860634578,0.30189882772873355,0.2264055744377147,0.23335869100471157,정상,False
